"id","name"
"1","(HT) Bharat Heavy Electricals Ltd."
"2","(HT) Bses Delhi "
"3","(HT) Haryana Vidyut Prasaran Nigam Limited"
"4","(HT) Indian Oil Corporation Ltd."
"5","(HT) Jharkhand Bijli Vitran Nigam Ltd."
"6","(HT) National Fertilizers Ltd."
"7","(HT) National Mineral Development Corporation Ltd."
"8","A Chart Industries Company"
"9","A K Mech Infra"
"10","A R Rail Vikas Services Pvt. Ltd."
"11","A to Z Enterprise"
"12","Aakash Oil Field Services Pvt. Ltd."
"13","Aarav International"
"14","Aavad Instrument "
"15","Aban Offshore Ltd."
"16","ABB India Ltd."
"17","ABB Power Projects & Systems India Ltd."
"18","Abha Electricals"
"19","Abiram Construction "
"20","ABN Tower & Transmission Pvt. Ltd."
"21","Absolute Projects India Ltd."
"22","Ace Pipeline Contracts Pvt. Ltd."
"23","ACME Automation Pvt. Ltd."
"24","Active Power Engineering & Consultancy LLP"
"25","Adani Electricity Mumbai Ltd."
"26","Adani Green Energy Ltd."
"27","Adani Group - Energy Vertical"
"28","Adani Infra India Ltd."
"29","Adani Power Ltd."
"30","Adani Power Mundra Ltd."
"31","Adani Power Rajasthan Ltd."
"32","Adani Total Gas Ltd."
"33","Adani Transmission India Ltd."
"34","Adaptive Engineering Pvt. Ltd."
"35","Adarsha Control and Automation Pvt. Ltd."
"36","Adept Power Pvt. Ltd."
"37","Ador Welding Ltd."
"38","Advance Electronic Systems"
"39","Advance Infrastructures Pvt Ltd. "
"40","Advance Ventilation Pvt. Ltd."
"41","Advanced Systek Pvt. Ltd."
"42","AEC Power Group"
"43","Afcons Infrastructure Ltd."
"44","Agarsen Minerals & Chemicals Pvt. Ltd."
"45","Agnice Fire Protection Pvt. Ltd."
"46","AGOG Power Projects Pvt. Ltd."
"47","Agro Pulping Machinery Pvt. Ltd."
"48","Ahmedabad Municipal Corporation "
"49","Aimtron Electronics "
"50","Airoil Flaregas Pvt. Ltd."
"51","Akshar Elecinfra Pvt. Ltd."
"52","Alpha Instrumentation & Allied Services "
"53","Amara Raja Power Systems Ltd."
"54","Amararaja Infra Pvt. Ltd."
"55","AMC Projects"
"56","Ame Technologies Pvt. Ltd."
"57","Amit Joshi"
"58","Ampersand Systems Pvt. Ltd."
"59","Amplify Infra"
"60","AMR Engineering Products"
"61","Amran Cathodic Protection Systems & Services "
"62","Amrutha Constructions"
"63","Amtek Instruments Pvt. Ltd."
"64","Anacon Process Control Pvt. Ltd."
"65","Andhra Pradesh Power Generation Corporation Ltd."
"66","Andrew Yule Company Ltd."
"67","Aneri Construction Pvt. Ltd."
"68","Ani Integrated Services Ltd."
"69","Anupam Industries Ltd."
"70","Apex Automation Pvt. Ltd."
"71","API Core Pharma"
"72","Apollo Power Systems Pvt. Ltd."
"73","Apoorv Air Control Systems"
"74","APS Infratech & Co"
"75","Aravali Power Company Pvt. Ltd."
"76","Arbutus Consultants Pvt. Ltd."
"77","Arcelor Mittal Nippon Steel India Ltd."
"78","ARD System Inc"
"79","Arian Communication"
"80","Arken Solutions Pvt. Ltd."
"81","ARRCS Projects"
"82","Artee Flow Controls Pvt. Ltd."
"83","Artson Engineering Ltd."
"84","Arvind Envisol Ltd."
"85","Ascent Electrification Engineers Pvt. Ltd."
"86","Ascent?Group of Companies"
"87","Ashida Electronics Pvt. Ltd."
"88","Ashoka Buildcon Ltd."
"89","Ashoka Buildcon Ltd. "
"90","Assam Bio Refinery Pvt. Ltd."
"91","Assam Rifles"
"92","Associated Power Structures Pvt. Ltd."
"93","Associated Works Infra Pvt. Ltd."
"94","Atlanta Electricals Pvt. Ltd."
"95","Aumni Transmission Industry Pvt. Ltd."
"96","Autosys Control Systems India Pvt. Ltd."
"97","Avaids Technovators Pvt. Ltd."
"98","Avalon Technologies Pvt. Ltd."
"99","Avant Garde Cleanroom & Engg. Solutions Pvt. Ltd."
"100","Avighna EPC Services Pvt. Ltd."
"101","Axis Solutions Pvt. Ltd."
"102","B&B Engineering Co"
"103","Baba Projects Pvt. Ltd."
"104","Bajaj Electricals Ltd."
"105","Baldota Valve & Fitting Co. Pvt. Ltd."
"106","BARG Marine & Industrial Projects Pvt. Ltd."
"107","Baroda Equipment & Vessels Pvt. Ltd."
"108","BARTEC India Pvt. Ltd."
"109","Basics Techno Services Pvt. Ltd."
"110","BEST "
"111","BGR Energy Systems Ltd."
"112","Bhanwariya Infra Projects Pvt. Ltd."
"113","Bharat Bijlee Ltd."
"114","Bharat Cooking Coal Ltd."
"115","Bharat Electronics Ltd."
"116","Bharat Heavy Electricals Ltd."
"117","Bharat Heavy Electricals Ltd. "
"118","Bharat Oman Refinery Ltd."
"119","Bharat Petroleum Corporation Ltd."
"120","Bharatiya Reserve Bank Note Mudran Pvt. Ltd."
"121","Bhartiya Rail Bijlee Company Ltd."
"122","Blue Star Ltd."
"123","BNC Power Projects Ltd."
"124","Bracker India"
"125","Brahmaputra Cracker And Polymer Ltd."
"126","Bridge & Roof Co India Ltd."
"127","Bright Power Projects India Pvt. Ltd."
"128","Brightway Inc"
"129","Brother's Electrical"
"130","BSCC Offshore"
"131","Bses Rajdhani Power Ltd."
"132","BSNL STP"
"133","BSS Tech CP India Pvt. Ltd."
"134","BST Infratech Ltd."
"135","BTW Atlanta Transformers India Pvt. Ltd."
"136","Bygging India Ltd."
"137","Cavotec"
"138","CDOT "
"139","Cease Fire Extinguishres & Systems India Pvt. Ltd."
"140","CEID Consultants & Engineering Pvt. Ltd."
"141","Cenlub Systems"
"142","Central Coalfields Ltd."
"143","Central Electronics Ltd."
"144","Central Organisation For Railway Electrification"
"145","Central Railway"
"146","CDOT"
"147","CG Power and Industrial Solutions Ltd."
"148","Chal Thirteen sixty Four India Pvt. Ltd."
"149","Chatterjee Engineering"
"150","Cheema Boilers Ltd."
"151","Chemie Tech"
"152","Chennai Petroleum Corporation Ltd."
"153","Chennai Radha Engineering Works Pvt. Ltd."
"154","Chhattisgarh State Power Generation Co Ltd."
"155","Chhattisgarh State Power Transmission Ltd."
"156","Chokshi Electric Co"
"157","CIRCOR Flow Technologies India Pvt. Ltd."
"158","City Cat Interntaional Ltd."
"159","Classic Electricals"
"160","Combustion Research Associates"
"161","Consistent Infra and Power Pvt. Ltd."
"162","Consultech"
"163","Control Plus & Oil & Gas Solutions Pvt. Ltd."
"164","CORE"
"165","CORE"
"166","Core Metal Krafts Ltd"
"167","Cormit Elect Projects Pvt. Ltd."
"168","Coromandel International Ltd."
"169","Corrxperts Pvt. Ltd."
"170","CorrEngg Services"
"171","Corrosion Cures Pvt. Ltd."
"172","Corrosion Engineers"
"173","Corrosion Matters"
"174","Corrosion Protection Specialist Pvt. Ltd"
"175","Corrosion Technology Services India Pvt. Ltd."
"176","Corrosion Technology Services India Pvt. Ltd."
"177","Corrpro Companies International Inc."
"178","Corrtech Energy Ltd."
"179","Corrtech International Pvt. Ltd."
"180","Corrtech International Pvt. Ltd."
"181","Corrxperts Pvt. Ltd."
"182","Cortigo Technologies Pvt. Ltd."
"183","Cosmos EPC Pvt. Ltd."
"184","Cotmac Electronics Pvt. Ltd."
"185","CPS Impac Pvt. Ltd."
"186","Crescon Projects & Services Pvt. Ltd."
"187","Cutter India"
"188","Dali Electronics"
"189","Damodar Valley Corporation "
"190","Damodhartech International Pvt. Ltd."
"191","Daniel Measurement Solutions Pvt. Ltd."
"192","Dasa Infra Systems Pvt. Ltd."
"193","Davey Products"
"194","De Nora India Ltd."
"195","De Nora India Ltd."
"196","Deendayal Port Trust"
"197","Deep Industries Ltd."
"198","Deep Traders"
"199","Deepak Construction Co."
"200","Deev Gen Set Sales & Services"
"201","Department Of Atomic Energy"
"202","Department Of Electronics & Information Technology"
"203","Department Of Scientific And Industrial Research"
"204","Des Electro Mech Pvt. Ltd."
"205","DE'S TECHNICO LIMITED"
"206","DE'S Technico Ltd."
"207","Detection Instruments India Pvt. Ltd."
"208","Devnandan Renewable Energy"
"209","Devyansh Construction & Developers Pvt. Ltd."
