"id","inqno","consultant","project","approval","customer","validity","rate","price","terms","delivery","drumlength","ld","cpbg","warranty","cutlength","destination","inspby","cabletype","conductor","insulation","sheilding","innersheath","armour","outersheath","sp1","sp2","sp3","sp4","sp5","sp6","oem","sector","approvalissue","currentproject","upcomingproject","csupplier","req","delperiod","spclreq","others","user","datetime"
"10","3550","-","Plant Requirement","Approved","Ador Welding Limited","5 days","Firm","-","100% within 30 days under MSME","4 - 6 weeks from the date of receipt of approved GTP /QAP / Manufacturing clearance","As per BOQ","NA","NA","18 months from the date of dispatch and 12 months from the date of commissioning whichever is earlier","NA","Ex works","Test Reports to be submitted",,,,,,,,,,,,,,"OEM & EPC ","Oil and Gas and Other",,,,,,,,"- ","3053","2021-08-27"
"16","3973","jukhgbjhubjhnbvhjv ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3033","2021-10-06"
"18","3977",,"V034_PGCIL Bihar Project ","Firm","Vikran Engineering","5","Firm",,"20% Advance and balance payment through 60 days LC","8-10 weeks from the date of receipt of PO and approved GTP/QAP and manufacturing clearance","500/1000","-","-","18months from the date of dispatch and 12 months from the date of commissioning whichever is earlier","As per BOQ","Upto site","PGCIL",,,,,,,,,,,,,,"EPC ","Transmission","No","PGCIL","PGCIL/MPPTCL ","Gemscab",,,,,"3053","2021-10-07"
"22","4250",,"Africa Project ","Firm",,"3 days","Firm",,,"2 weeks From mfg. clearance",,,,,,,"Not Required - Only internal report to be submitted",,,,,,,,,,,,,,"CP System Pipeline  contractor","Pipeline",,,,,,,,,"3001","2021-11-11"
"24","4259","-","DAE Tender","Firm","Bracker India","7","firm",,"10% Advance and balance payment through 60 days LC","8-10 weeks from the date of receipt of PO along with MFC and Approved GTP QAP","500/1000/As per BOQ","-","-","18-12","-","-","TPIA",,,,,,,,,,,,,,"Trader","Generation",,,,,,,,"-","3053","2021-11-16"
"28","4289",,"GETCO","Budgetary","Onix Group","7 days","Firm","NA","100% against performa invoice before dispatch","8 weeks","500/ 1000",,,,,,"GETCO",,,,,,,,,,,,,,,,,,,,,,,,"3001","2021-11-17"
"31","4267","PGCIL","PGCIL 765/400 KV Substation  Fatehpur North central railway s","Firm","North central railway s","7","Firm",,"10% Advance and balance payment through 60 days LC","6-8 weeks ","As per PGCIL  ","Yes. ",,"12 to 18 Months ",,,"PGCIL  ",,,,,,,,,,,,,,,,,,,,,,,,"3033","2021-11-22"
"32","4256",,"IOCL (Ethanol project) Karanatak  ","Firm","IOCL (Ethanol project) ","7","Firm ",,"10% Advance and balance payment through 90 days LC","Commencing   within 8-10 weeks from the date of PO & 100 km per month thereafter ","500/1000 Meters  ","NA  ",,,,,"TPIA  ",,,,,,,,,,,,,,,,,,,,,,,,"3033","2021-11-22"
"33","2654",,,"Budgetary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3033","2021-11-22"
"34","2767",,,"Budgetary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3033","2021-11-22"
"35","3100",,,"Firm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3033","2021-11-22"
"36","3413",,,"Budgetary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3033","2021-11-22"
"37","3423",,,"Firm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3033","2021-11-22"
"38","3763",,,"Budgetary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3033","2021-11-22"
"39","4222",,,"Budgetary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3033","2021-11-22"
"40","4162",,,"Firm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3033","2021-11-22"
"41","4148",,,"Firm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3033","2021-11-22"
"42","4133",,,"Firm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3033","2021-11-22"
"43","4091",,,"Firm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3033","2021-11-22"
"44","4049",,,"Firm","scddasdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3033","2021-11-22"
"45","4022",,,"Firm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3033","2021-11-22"
"46","4018",,,"Firm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3033","2021-11-22"
"48","4011",,,"Firm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3033","2021-11-22"
"50","3917","General Engineering Consultancy   ","Gujarat Metro  ","Firm",,"15 Days ","Firm ",,,"8-10 weeks from the date of receipt of the PO along with mfc ","500/1000  Meters ",,"NA ","36 Months to 24 Months from the supply ","NA. ","Up to site  ","GMRC  ",,,,,,,,,,,,,,,,,,,,,,,,"3033","2021-11-22"
"51","3595",,,"Firm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3033","2021-11-22"
"52","3604",,,"Budgetary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3033","2021-11-22"
"53","3607",,,"Firm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3033","2021-11-22"
"54","4153",,,"Firm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3053","2021-11-22"
"55","4154",,,"Firm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3053","2021-11-22"
"57","4327",,"SETC of 220/2x25 kV & 132/2x25 kV Traction Sub-station along with SP/SSPs between Ghaziabad- Deen Da","Budgetary","MonteCarlo Ltd","7","Yes",,"20% Advance and balance payment through 60 days LC","10 -  12 weeks from the date of receipt of approved GTP/QAP/Manufacturing Clearance ","As Per BOQ","No","-","12 Months from the date of Commissioning & 18 Months from the date of dispatch; whichever is earlier.","As Per BOQ","Up to site","Client",,,,,,,,,,,,,,"Contractor","Railways / Generation",,,,,,,,,"3053","2021-11-22"
"58","4286",,"Reliance Extn. of 220 kV GIS & 33 kV GIS Jamnagar","Budgetary","Siemens Ltd.","7","Yes",,"100% payment within 30 days (Under MSME)","8 -  10 weeks from the date of receipt of approved GTP/QAP/Manufacturing Clearance ","As Per BOQ","No","-","12 Months from the date of Commissioning & 18 Months from the date of dispatch; whichever is earlier.","As Per BOQ","Up to site","Client",,,,,,,,,,,,,,,,,,,,,,,,"3053","2021-11-23"
"59","4322","Valdel Engineers & Constructors Pvt. Ltd.","O-521138 Automation & Telecom @ VLCC Jetty Mundra ","Budgetary",,"7","Yes",,"100% payment within 30 days (Under MSME)","10 -  12 weeks from the date of receipt of approved GTP/QAP/Manufacturing Clearance ","As Per BOQ","Yes",,"12 Months from the date of Commissioning & 18 Months from the date of dispatch; whichever is earlier.","As Per BOQ","Up to site","TPIA",,,,,,,,,,,,,,,,,,,,,,,,"3053","2021-11-23"
"61","4344","MECON","GAIL - Dibyapur","Firm","Eximp Measurement Pvt. Ltd.","4","Yes",,"10% Advance and balance against performa invoice after inspection before dispatch.","4 -  6 weeks from the date of receipt of approved GTP/QAP/Manufacturing Clearance ","As Per BOQ","No","-","12 Months from the date of Commissioning & 18 Months from the date of dispatch; whichever is earlier.","As Per BOQ","Exworks","TPIA",,,,,,,,,,,,,,"EPC","Oil and Gas",,,,,,,,,"3053","2021-11-23"
"63","4350","EIL","ONGC - Assam","Firm","Assam Air Products Private Limited - Guwahati","4","Yes",,"20% Advance and balance against performa invoice after inspection before dispatch.","4 -  6 weeks from the date of receipt of approved GTP/QAP/Manufacturing Clearance ","500","No","-","12 Months from the date of Commissioning & 18 Months from the date of dispatch; whichever is earlier.","As Per BOQ","Up to site","TPIA",,,,,,,,,,,,,,"OEM","Oil and Gas","No","ONGC - Assam","-",,,"ASAP",,,"3044","2021-11-24"
"64","4181",,,"Budgetary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3044","2021-11-24"
"65","4301",,"ONGC- Mehsana Asset","Budgetary","Petrocil Engineers and Consultants Pvt. Ltd. - Cochin","7","Yes",,"10% Advance and balance against performa invoice after inspection before dispatch.","4 -  6 weeks from the date of receipt of approved GTP/QAP/Manufacturing Clearance ","500","No",,"12 Months from the date of Commissioning & 18 Months from the date of dispatch; whichever is earlier.","As Per BOQ","Exworks","TPIA",,,,,,,,,,,,,,,,,,,,,,,,"3044","2021-11-24"
