"id","inqno","fdate","remark","ndate","datetime","user_id"
"1","1","2020-05-01","offer send ing by 25 march but vendor qty cahnage they have finalsed take some time ","2020-05-16","2020-05-01 00:00:00.000000","3007"
"2","2","2020-05-01","Budhetory Offer","2020-07-30","2020-05-01 00:00:00.000000","3000"
"3","3","2020-05-23","Firm Requirements. Lost it on high rates. Finally closed at 47Lac (Inc.of GST & Freight).","2020-06-02","2020-05-23 00:00:00.000000","3011"
"4","4","2020-05-26","Budgetory offer  ","2020-09-13","2020-05-26 00:00:00.000000","3007"
"5","5","2020-05-23","Budgetory offer. Metro Project. It will take time.","2020-07-22","2020-05-23 00:00:00.000000","3011"
"6","6","2020-05-23","Firm Requirements. E-Auction was conducted by HAIL. Lost it due to approval problem of specific project for Power cables.","2020-06-02","2020-05-23 00:00:00.000000","3011"
"7","7","2020-05-26","Budgetory Offer","2020-08-24","2020-05-26 00:00:00.000000","3007"
"8","8","2020-05-23","PO Received.","2020-06-02","2020-05-23 00:00:00.000000","3011"
"9","9","2020-07-04","This project on hold.","2020-07-19","2020-07-04 00:00:00.000000","3044"
"10","10","2020-05-26","Regret","0000-00-00","2020-05-26 00:00:00.000000","3033"
"11","11","2020-05-15","as discuss Hardik dated 15/05/20 Regert For same ","0000-00-00","2020-05-15 00:00:00.000000","3033"
"12","13","2020-06-17","Shall take time for 3 months","2020-08-16","2020-06-17 00:00:00.000000","3001"
"13","16","2020-05-23","Firm RFQ for Instrumentation cables. Lost it on high rates. Package finalized at 18Cr.","2020-06-02","2020-05-23 00:00:00.000000","3011"
"14","17","2020-11-24","Due to Lockdown it is affected to this tender , Tender opening date extented.","2020-12-24","2020-11-24 00:00:00.000000","3044"
"15","19","2020-05-12","Awaiting for finaal quantity from PDIL, Due to lockdown it is stuck. Will resume after lockdown. ","2020-05-27","2020-05-12 00:00:00.000000","3044"
"16","20","2020-06-23","take some time","2020-08-22","2020-06-23 00:00:00.000000","3007"
"17","21","2020-09-18","They will consider us for final negotiation,Under follow up. It will take more than 2 months.","2020-10-18","2020-09-18 00:00:00.000000","3044"
"18","23","2020-06-12","Tender has been submitted by them. ","2020-07-12","2020-06-12 00:00:00.000000","3033"
"19","24","2020-05-23","Firm Requirements. E-Auction was conducted by Adani. We were at Rank-3. Hence lost it.","2020-06-02","2020-05-23 00:00:00.000000","3011"
"20","25","2020-05-23","Firm Requirements for IOCL/BPCL Projects. Due to COVID-19 Lockdown issue not yet finalize.","2020-06-17","2020-05-23 00:00:00.000000","3011"
"21","27","2020-06-23","not decide take some time  he is call back ","2020-08-22","2020-06-23 00:00:00.000000","3007"
"22","28","2020-10-23","Budgetory offer , It will take time.","2020-11-22","2020-10-23 00:00:00.000000","3044"
"23","29","2020-05-23","Budgetory offer. Metro Project. It will take time.","2020-07-22","2020-05-23 00:00:00.000000","3011"
"24","30","2020-05-20","They provide different solutions I water industries","2020-06-19","2020-05-20 00:00:00.000000","3053"
"25","31","2020-06-12","Revised quantity has given by them. . ","2020-07-27","2020-06-12 00:00:00.000000","3033"
"26","32","2020-05-23","Firm Requirements for Railway project. Due to COVID-19 Lockdown issue not yet finalize.","2020-06-22","2020-05-23 00:00:00.000000","3011"
"27","34","2020-05-26","firm Requirment offer submited they have finalsed by shortly call back at final nefgotaion","2020-06-25","2020-05-26 00:00:00.000000","3007"
"28","35","2020-05-26","online tender submited by Rahul","2020-07-25","2020-05-26 00:00:00.000000","3039"
"29","36","2020-05-23","Firm Requirements. It is under follow-up by Parth P. ","2020-06-02","2020-05-23 00:00:00.000000","3048"
"30","38","2020-05-26","tender submited auction rquired ","2020-07-25","2020-05-26 00:00:00.000000","3003"
"31","39","2020-05-22","all ready qote sr no 132","0000-00-00","2020-05-22 00:00:00.000000","3007"
"32","41","2021-03-31","AS DISSCTION WITH RADHA RANI BHEL HEAD EVOLUTION AS UNDER PROCESSS ","2021-05-30","2021-03-31 00:00:00.000000","3003"
"33","44","2020-05-21","Tender Cancelled","0000-00-00","2020-05-21 00:00:00.000000","3039"
"34","54","2021-03-31","AS DISSCTION WITH RADHA RANI BHEL HEAD EVOLUTION AS UNDER PROCESSS ","2021-05-30","2021-03-31 00:00:00.000000","3003"
"35","61","2020-05-08","Budgetary offer submitted, will take time ","2020-08-06","2020-05-08 00:00:00.000000","3033"
"36","62","2020-05-23","Firm Requirements. It is under follow-up.","2020-06-02","2020-05-23 00:00:00.000000","3011"
"37","63","2020-05-23","On Line Tender.System.","2020-06-02","2020-05-23 00:00:00.000000","3011"
"38","64","2020-08-12","Due to small quantities , our price were higher side.","2020-08-27","2020-08-12 00:00:00.000000","3044"
"39","65","2020-05-23","Bidding Stage. It take time.","2020-06-22","2020-05-23 00:00:00.000000","3011"
"40","66","2020-05-08","Getting too much low rates from Shririam, CMI & Others , weare at L4  also expexting open credit payment. ","2020-05-28","2020-05-08 00:00:00.000000","3033"
"41","67","2020-05-20","Will take time. ","2020-07-19","2020-05-20 00:00:00.000000","3033"
"42","68","2020-08-19","nod  decided till hold","2020-10-18","2020-08-19 00:00:00.000000","3007"
"43","69","2020-08-19","Budgetory offer take some time","2020-12-17","2020-08-19 00:00:00.000000","3007"
"44","70","2020-08-19","due not response by vendor","0000-00-00","2020-08-19 00:00:00.000000","3007"
"45","82","2020-07-04","Budgetory offer , It will take time.","2020-08-03","2020-07-04 00:00:00.000000","3044"
"46","83","2020-08-19","Budgetory offer","2020-11-17","2020-08-19 00:00:00.000000","3007"
"47","84","2020-08-19","take some time","2020-12-17","2020-08-19 00:00:00.000000","3007"
"48","85","2020-05-20","They are manufacturer of transformer","2020-06-19","2020-05-20 00:00:00.000000","3053"
"49","86","2020-05-23","Bidding Stage. It take time.","2020-06-22","2020-05-23 00:00:00.000000","3011"
"50","87","2020-08-06","PO Received.","2020-08-16","2020-08-06 00:00:00.000000","3011"
"51","88","2020-09-05","bidding stage requirment take some time","0000-00-00","2020-09-05 00:00:00.000000","3007"
"52","89","2020-05-23","Firm Requirements. Due to COVID-19 Lockdown issue not yet decided. RA shall condut by Adani.","2020-06-07","2020-05-23 00:00:00.000000","3011"
"53","91","2020-05-08","Budgetary offer submitted, will take time ","2020-06-22","2020-05-08 00:00:00.000000","3033"
"54","98","2020-06-12","Project is under execution, However Ghana has also lockdown, will discuss on this after a week. ","2020-06-27","2020-06-12 00:00:00.000000","3033"
"55","99","2020-05-23","Bidding Stage. It take time.","2020-06-22","2020-05-23 00:00:00.000000","3011"
"56","102","2020-05-23","Firm Requirements.It is under technical evaluation. Call back next week.","2020-06-02","2020-05-23 00:00:00.000000","3011"
"57","103","2020-05-08","Budgetary offer submitted, will take time ","2020-06-22","2020-05-08 00:00:00.000000","3054"
"58","105","2020-05-22","Not quoted because of hard copy and all the courier service are not working","0000-00-00","2020-05-22 00:00:00.000000","3007"
"59","106","2020-05-08","Budgetary offer submitted, will take time ","2020-06-22","2020-05-08 00:00:00.000000","3048"
"60","107","2020-06-12","Budgetary offer is ubmitted, we need to get approval for this project , as we are not approved with worley . ","2020-07-12","2020-06-12 00:00:00.000000","3033"
"61","108","2020-06-22","It is a budgetary offer and tender has been extended due to lockdown.","2020-07-22","2020-06-22 00:00:00.000000","3053"
"62","109","2021-01-01","They did not get the tender and they found our prices high. New enquiries will be floated soon.","2021-02-20","2021-01-01 00:00:00.000000","3053"
"63","110","2020-05-12","Offer submitted, will be finalized after 2 weeks. ","2020-05-27","2020-05-12 00:00:00.000000","3033"
"64","112","2020-06-11","They proide turkey solution in coal handling plant, under follow up.","2020-07-11","2020-06-11 00:00:00.000000","3044"
"65","115","2020-05-22","small qty","0000-00-00","2020-05-22 00:00:00.000000","3007"
"66","120","2020-05-23","Bidding Stage. It take time.","2020-06-22","2020-05-23 00:00:00.000000","3011"
"67","122","2020-06-05","They will consider us for final negotitiation,Under follow up.","2020-06-20","2020-06-05 00:00:00.000000","3044"
"68","125","2020-05-19","DUE SMALL QTY REGERT","0000-00-00","2020-05-19 00:00:00.000000","3011"
"69","126","2020-05-22","small qty","0000-00-00","2020-05-22 00:00:00.000000","3003"
"70","127","2020-06-16","under technical evulationstage finalised by end of june 2020","2020-07-16","2020-06-16 00:00:00.000000","3007"
"71","133","2020-05-22","small qty","0000-00-00","2020-05-22 00:00:00.000000","3003"
"72","134","2020-05-19","regret du to all ready quoted to direct tender KSEB Online Against Sr 160","0000-00-00","2020-05-19 00:00:00.000000","3007"
"73","138","2020-06-03","yet to finalize. ","2020-07-18","2020-06-03 00:00:00.000000","3033"
"74","139","2020-06-03","yet to finalize.","2020-07-18","2020-06-03 00:00:00.000000","3033"
"75","140","2020-06-03","yet to finalize.","2020-07-18","2020-06-03 00:00:00.000000","3033"
"76","141","2020-06-03","Will take time for finalization. ","2020-07-18","2020-06-03 00:00:00.000000","3033"
"77","142","2020-06-03","Will take time for finalization. ","2020-07-18","2020-06-03 00:00:00.000000","3033"
"78","143","2020-06-03","Will take time for finalization.","2020-07-18","2020-06-03 00:00:00.000000","3033"
"79","144","2020-06-03","Will take time for finalization. ","2020-07-18","2020-06-03 00:00:00.000000","3033"
"80","145","2020-05-19","Need to make a regular follow ups. ","2020-06-18","2020-05-19 00:00:00.000000","3033"
"81","146","2020-05-29","small qty","0000-00-00","2020-05-29 00:00:00.000000","3039"
"82","148","2020-08-06","Bidding Stage. It take time.","2020-09-05","2020-08-06 00:00:00.000000","3011"
"83","150","2020-05-23","Firm Requirements.It is under technical evaluation. Call back next week.","2020-06-02","2020-05-23 00:00:00.000000","3011"
"84","153","2020-05-19","Will get the order. ","2020-06-03","2020-05-19 00:00:00.000000","3033"
"85","154","2020-05-23","We have received the same RFQ from Elster -Vadodara. It is under follow-up by Alvin.","2020-06-02","2020-05-23 00:00:00.000000","3011"
"86","156","2020-07-28","They are waiting for the final clearance, Under negotiation. ","2020-08-07","2020-07-28 00:00:00.000000","3048"
"87","158","2020-05-29","HT Cable","0000-00-00","2020-05-29 00:00:00.000000","3003"
"88","159","2020-05-19","Discussed with client we have to get approval. ","2020-06-18","2020-05-19 00:00:00.000000","3053"
"89","163","2020-05-20","They proivde automation solution in Pharma companies","2020-06-04","2020-05-20 00:00:00.000000","3048"
"90","164","2020-06-27","Commercial offer submitted, Budgetory offer will take time","2020-08-01","2020-06-27 00:00:00.000000","3048"
"91","165","2020-05-20","they provide Automation Solutions like PLC and SCADA","2020-06-19","2020-05-20 00:00:00.000000","3053"
"92","166","2020-06-11","repted sr no 248","0000-00-00","2020-06-11 00:00:00.000000","3003"
"93","167","2020-09-24","Project kept on hold. ","2020-10-24","2020-09-24 00:00:00.000000","3011"
"94","168","2020-08-12","They will consider us for final negotiation,Under follow up.","2020-08-27","2020-08-12 00:00:00.000000","3044"
"95","169","2020-06-16","auction required","2020-07-26","2020-06-16 00:00:00.000000","3007"
"96","172","2020-06-03","Technical compliance submitted , need to submit final rates. ","2020-06-10","2020-06-03 00:00:00.000000","3033"
